ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder
394,https://www.open.online/2020/03/31/coronavirus-attenzione-il-governo-non-ha-autorizzato-lora-daria-per-far-uscire-i-vostri-figli/,,,,,0,https://www.orizzontescuola.it/coronavirus-ministro-bonetti-si-allora-daria-ai-bambini-non-in-un-gruppo-e-con-gradualita/,,,,[Aggiornato] Coronavirus. Attenzione! Il Governo non ha autorizzato «l’ora d’aria» per far uscire i vostri figli,1-Apr-20,1-Apr-20,Italy,Italian,,Emergency responses,A website published an article saying that an Italian Minister said that it is now possible for kids to go out and stay outside for an hour,0,Other,A false claim was misattributed to an Italian Minister probably by mistake,"Media, Individual actor",OrizzonteScuola.it,Website,False reporting,"Coronavirus, bambini, Bonetti, ora d'aria","A claim was misattributed to the Italian Minister Bonetti saying that she said it is now possible for kids to go out for a walk one hour a day, even though governmental laws prohibit it. The news was written in an article on the website OrizzonteScuola.it.",Luca
395,https://www.buzzfeed.com/jp/kotahatachi/unknown-cause-china-21,,,,,1,,,,,????????????3??1???????????????????????,1-Apr-20,3-Apr-20,Japan,Japanese,,COVID-19 status of individuals,Twitter users claiming one in three or half of positive cases in Japan are non-citizens,0,Politics,Spread claim that foreigners constitute large portion of positive cases,Individual actor,General public,Twitter,False reporting,"Coronavirus, Japan, foreigners, citizenship, citizen, ???????????????????????",Twitter users using graphs to claim that one third or half of Japan's coronavirus cases are non-citizens,Fumika
396,https://www.buzzfeed.com/jp/yutochiba/bokutou-disinformation,,https://www.buzzfeed.com/jp/yutochiba/bokutou-disinformation,,,1,,,,,?????????????????????????????????????,1-Apr-20,8-Apr-20,Japan,Japanese,,Emergency responses,Tweets claiming that Tokyo Metropolitan Bokutoh Hospital stopped functioning on March 29,0,Fear,Spread claim that Tokyo Metropolitan Bokutoh Hospital stopped functioning,Individual actor,General public,Twitter,False reporting,"Coronavirus, Japan, Tokyo, Bokutoh Hospital, ER, function, stop","Misunderstanding of a doctor's initial tweet that the ER had temporarily stopped accepting patients at Tokyo Bokutoh Hospital, tweet spread claiming the entire hospital had stopped functioning",Fumika
397,https://www.buzzfeed.com/jp/kensukeseya/kato-account-1,,https://www.buzzfeed.com/jp/kensukeseya/kato-account-1,,,1,,,,,???????????????????????2?????????????,1-Apr-20,12-Apr-20,Japan,Japanese,,Other,"Fake Twitter account pretending to be Katou Cha, posting tweets in memory of Shimura Ken, who died of coronavirus",0,Other,Arouse fake emotion among Twitter followers,Individual actor,General Public,Twitter,False reporting,"Coronavirus, Japan, Shimura Ken, Katou Cha, fake, twitter","Fake twitter account pretending to be comedian Katou Cha began posting tweets in memory of Shimura Ken, who died of coronavirus and was in same comedy troupe as Katou",Fumika
398,https://www.cyzo.com/2020/04/post_236090_entry.html,,,,,0,,,,,????????????????????????????????????????????????????,1-Apr-20,23-Apr-20,South Korea,Korean,Japanese,COVID-19 status of individuals,Kpop star Jaejoong announced on Instagram he has coronavirus,0,Other,Jaejoong announced his false COVID-19 status as an April Fool's joke,Individual actor,Jaejoong Kim,Instagram,False reporting,"Coronavirus, Jaejoong, JYJ, instagram, kpop",Kpop idol Jaejoong Kim posted on Instagram as an April Fool's joke that he has coronavirus,Fumika
399,http://m.yahui.cc/gzfy/1812174-1.htm,,,,,0,,,,,??2100???????????????????????? ,1-Apr-20,6-Apr-20,China,Mandarin,,COVID-19 status of individuals,"21000000 phones disappeared in China, and messages were spread that the number of disappearances are equal to the number of coronavirus deaths",1,Undermine target country institutions ,Spread false rumors that China has 21000000 deaths because 21000000 phones disappeared,Individual actor,General Public,"Youtube, India Republic World",Conspiracy,"Coronavirus, India, 2100000, Phones, Deaths","Rumors were spread that 2100000 phones disappeared, and the number of disappearances is equal to the number of coronavirus deaths",Anne
400,WhatsApp ,,,,,0,,,,,,1-Apr-20,1-Apr-20,Spain,Spanish,,False cures and preventative measures,"A WhatsApp message saying how you shouldn't take certain medicines (ibuprofeno, Naproxeno, Voltarene, etc)",1,Other,People trying to help but falling into the trap of spreading misinformation,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, medical treatment, ibuprofen",A WhatsApp long message telling how people should not take iburpofen (and other anti-inflamatorios) and only take paracetamol. They said young people in France and Italy had died because of complications related to the intake fo these medicines. They also advise in favor of drinking water regularly. They have a link to French goverment website that informs about the use of ibruprofen (among other things). The information provided in this website is in French and the contect is way milder than what the message reports. ,Arantxa
401,https://observers.france24.com/fr/20200401-coronavirus-pillage-supermarche-mexique-attention-video-direct-pas-fiable,,https://observers.france24.com/fr/20200401-coronavirus-pillage-supermarche-mexique-attention-video-direct-pas-fiable,,,1,,,,,"Coronavirus : un pillage dans un supermarché au Mexique ? Attention, une vidéo ""en direct"" n’est pas toujours fiable !",1-Apr-20,13-Apr-20,"Mexico, Honduras, France",Spanish,"French, English, Arab, Chinese",Other,Videos showing a supermarket is being sacked in Mexico in the chaos caused by the coronavirus emergency,0,Fear,Spread the fear that the situation is so chaotic because of coronavirus that a supermarket is being sacked for fear of lack of food,Individual actor,Facebook accounts,Facebook,False reporting,"Coronavirus, Mexico, supermarket, sacked, food",Fake lives and videos on Facebook showed the sacking of a supermarket in Mexico in the context of chaos triggered by the national lockdown,Giorgio
402,https://verafiles.org/articles/vera-files-fact-check-pacquiao-wrong-ph-has-been-dealing-cor,,,,,0,,,,,VERA FILES FACT CHECK: Pacquiao is wrong; PH has been dealing with ‘coronavirus issue’ since January,1-Apr-20,3-Apr-20,Philippines,Tagalog,,Other,"Senator Manny Pacquiao claiming the ""Coronavirus issue had not reached the Philippines until mid-March""",0,Downplay Severity,"Senator Manny Pacquiao claiming the delayed COVID-19 presence in the Philippines, perhaps for the sake of it.",Political actor,Senator Manny Pacquiao,In person,False reporting,"Coronavirus, Philippines, Manny Pacquiao, Aquino Pimentel","Senator Manny Pacquiao claiming that the Coronavirus issue had not come to the Philippines until March, when the first recorded patient in the country was in January.",Jan
403,https://akhbarelyom.com/news/newdetails/3026373/1/%D9%81%D9%8A%D8%AF%D9%8A%D9%88--%D8%A3%D8%B3%D8%A7%D9%85%D8%A9-%D9%87%D9%8A%D9%83%D9%84-%D9%8A%D8%B1%D8%AF-%D8%B9%D9%84%D9%89-%D8%A5%D8%B4%D8%A7%D8%B9%D8%A9-%D8%A5%D9%82%D8%A7%D9%85%D8%A9-%D9%85%D8%B5%D8%B1-%D9%85%D8%B1%D8%A7%D9%83%D8%B2-%D8%B9%D8%B2%D9%84-%D9%84%D9%85%D8%B1%D8%B6%D9%89-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,,https://akhbarelyom.com/news/newdetails/3026373/1/%D9%81%D9%8A%D8%AF%D9%8A%D9%88--%D8%A3%D8%B3%D8%A7%D9%85%D8%A9-%D9%87%D9%8A%D9%83%D9%84-%D9%8A%D8%B1%D8%AF-%D8%B9%D9%84%D9%89-%D8%A5%D8%B4%D8%A7%D8%B9%D8%A9-%D8%A5%D9%82%D8%A7%D9%85%D8%A9-%D9%85%D8%B5%D8%B1-%D9%85%D8%B1%D8%A7%D9%83%D8%B2-%D8%B9%D8%B2%D9%84-%D9%84%D9%85%D8%B1%D8%B6%D9%89-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,,,0,,,,,?????| ????? ???? ??? ??? ????? ????? ??? ????? ??? ????? ??????,2-Apr-20,12-Apr-20,Egypt,Arabic,,Emergency responses,Photos circulating on social media claim Egyptian government established isolation centers for covid patients inside conference rooms,0,Fear,Instill fear that the government is establishing isolation centers for covid patients ,Individual actor,General Public,Social media,False reporting,"Coronavirus, Egypt, Isolation centers","Photos from isolation centers in Wuhan were circulating on social media, and people claimed the photos are from Egypt",Alaa
404,https://www.hardenexpress.com.au/story/6708057/250-supermarket-voucher-too-good-to-be-true-scamwatch-warns/,,https://www.hardenexpress.com.au/story/6708057/250-supermarket-voucher-too-good-to-be-true-scamwatch-warns/,,,0,,,,,"COVID-19 scam offering grocery vouchers with Coles, Woolworths",2-Apr-20,1-Apr-20,Australia,English,,False cures and preventative measures,A WhatsApp message claiming a grocery store chain in Australia was providing free vouchers because of COVID-19,1,Profit,"Attempts to profit off of individuals, by claiming a ""free"" voucher from a popular Australian grocery store chain",Individual actor,General public,WhatsApp,False reporting,"Coronavirus, Australia, Coles, voucher","A WhatsApp message claiming Coles, an Australian grocery store chain, was providing free 250$ vouchers for individuals because of COVID-19. ",Jan
